ID	Sample	Project	Run_Seq	Pool
20335_4483_0209_P1	20335	4483	0209	P1
20337_4216_0144	20337	4216	0144	NA
20340_4216_0135	20340	4216	0135	NA
20340_4483_0194_P1	20340	4483	0194	P1
20347_4066_0261_P1	20347	4066	0261	P1
20347_4216_0190	20347	4216	0190	NA
20349_4066_0277_P1	20349	4066	0277	P1
20349_4216_0191	20349	4216	0191	NA
20352_4216_0050	20352	4216	0050	NA
20354_4216_0057	20354	4216	0057	NA
20355_4066_0203_P1	20355	4066	0203	P1
20355_4216_0092	20355	4216	0092	NA
20362_4216_0012	20362	4216	0012	NA
20362_4483_0247_P1	20362	4483	0247	P1
20363_4066_0362_P2	20363	4066	0362	P2
20363_4216_0192	20363	4216	0192	NA
20363_4483_0278_P1	20363	4483	0278	P1
20365_4216_0112	20365	4216	0112	NA
20368_4066_0210_P1	20368	4066	0210	P1
20368_4216_0019	20368	4216	0019	NA
20372_4216_0046	20372	4216	0046	NA
20373_4066_0252_P1	20373	4066	0252	P1
20377_4066_0248_P1	20377	4066	0248	P1
20377_4216_0153	20377	4216	0153	NA
20394_4483_0298_P2	20394	4483	0298	P2
20396_4066_0269_P1	20396	4066	0269	P1
20400_4066_0193_P1	20400	4066	0193	P1
20404_4066_0225_P1	20404	4066	0225	P1
20407_4483_0275_P1	20407	4483	0275	P1
20409_4216_0006	20409	4216	0006	NA
20409_4483_0249_P1	20409	4483	0249	P1
20411_4066_0240_P1	20411	4066	0240	P1
20411_4216_0040	20411	4216	0040	NA
20414_4066_0241_P1	20414	4066	0241	P1
20414_4216_0025	20414	4216	0025	NA
20418_4216_0059	20418	4216	0059	NA
20418_4483_0339_P2	20418	4483	0339	P2
20424_4216_0014	20424	4216	0014	NA
20424_4483_0250_P1	20424	4483	0250	P1
20428_4216_0125	20428	4216	0125	NA
20429_4483_0231_P1	20429	4483	0231	P1
20432_4216_0015	20432	4216	0015	NA
20432_4483_0241_P1	20432	4483	0241	P1
20439_4483_0283_P1	20439	4483	0283	P1
20445_4216_0110	20445	4216	0110	NA
20447_4216_0130	20447	4216	0130	NA
20449_4216_0017	20449	4216	0017	NA
20450_4066_0262_P1	20450	4066	0262	P1
20456_4483_0332_P2	20456	4483	0332	P2
20459_4483_0329_P2	20459	4483	0329	P2
20467_4066_0307_P2	20467	4066	0307	P2
20474_4483_0203_P1	20474	4483	0203	P1
20479_4483_0200_P1	20479	4483	0200	P1
20485_4066_0278_P1	20485	4066	0278	P1
20486_4216_0137	20486	4216	0137	NA
20486_4483_0320_P2	20486	4483	0320	P2
20489_4216_0118	20489	4216	0118	NA
20489_4483_0317_P2	20489	4483	0317	P2
20491_4483_0264_P1	20491	4483	0264	P1
20500_4483_0279_P1	20500	4483	0279	P1
20501_4066_0242_P1	20501	4066	0242	P1
20501_4216_0037	20501	4216	0037	NA
20513_4216_0013	20513	4216	0013	NA
20513_4483_0226_P1	20513	4483	0226	P1
20515_4066_0243_P1	20515	4066	0243	P1
20515_4216_0062	20515	4216	0062	NA
20526_4066_0253_P1	20526	4066	0253	P1
20531_4066_0204_P1	20531	4066	0204	P1
20531_4216_0096	20531	4216	0096	NA
20540_4216_0115	20540	4216	0115	NA
20547_4066_0369_P2	20547	4066	0369	P2
20548_4216_0129	20548	4216	0129	NA
20552_4216_0131	20552	4216	0131	NA
20552_4483_0324_P2	20552	4483	0324	P2
20564_4066_0226_P1	20564	4066	0226	P1
20564_4216_0066	20564	4216	0066	NA
20565_4216_0138	20565	4216	0138	NA
20571_4483_0284_P1	20571	4483	0284	P1
20571_4483_0284_P2	20571	4483	0284	P2
20576_4216_0102	20576	4216	0102	NA
20576_4483_0236_P1	20576	4483	0236	P1
20579_4066_0377_P1	20579	4066	0377	P1
20579_4066_0377_P2	20579	4066	0377	P2
20585_4066_0218_P1	20585	4066	0218	P1
20585_4216_0076	20585	4216	0076	NA
20592_4216_0068	20592	4216	0068	NA
20594_4216_0001	20594	4216	0001	NA
20598_4216_0071	20598	4216	0071	NA
20601_4216_0117	20601	4216	0117	NA
20601_4483_0349_P2	20601	4483	0349	P2
20603_4066_0244_P1	20603	4066	0244	P1
20603_4216_0038	20603	4216	0038	NA
20604_4066_0330_P2	20604	4066	0330	P2
